team,match,placement_points,kill_points,total_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,relative_circle_favor
TS,2,10,13,23,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,9,6,0.666666667,-0.837175528
WC,2,1,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,6,2,0.333333333,-1.170508862
BMG,3,10,7,17,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,NA,8,5,0.625,-0.878842195
C9,3,1,7,8,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,-0.670508862
DNL,3,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
END,3,0,2,2,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,-1.003842195
EU,3,3,8,11,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,-0.932413624
EXG,3,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
GG,3,0,2,2,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
LZR,3,5,8,13,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,NA,8,2,0.25,-1.253842195
NV,3,2,1,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,-0.670508862
P1E,3,6,8,14,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,8,7,0.875,-0.628842195
PEC,3,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
RUM,3,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
SIM,3,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
SSG,3,0,5,5,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
TS,3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
WC,3,4,6,10,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,-1.075270767
BMG,4,6,2,8,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,9,2,0.222222222,-1.281619973
C9,4,0,4,4,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
DNL,4,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
END,4,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
EU,4,10,12,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,9,7,0.777777778,-0.726064417
EXG,4,0,5,5,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
GG,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
LZR,4,5,9,14,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,-0.753842195
NV,4,0,4,4,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-0.503842195
P1E,4,0,2,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
PEC,4,0,2,2,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-0.503842195
RUM,4,2,6,8,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,-1.003842195
SIM,4,3,4,7,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,-1.075270767
SSG,4,1,2,3,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
TS,4,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,6,3,0.5,-1.003842195
WC,4,4,5,9,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,8,3,0.375,-1.128842195
BMG,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,0,0,-1.503842195
C9,5,1,2,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,5,4,0.8,-0.703842195
DNL,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
END,5,5,0,5,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,9,5,0.555555556,-0.94828664
EU,5,3,2,5,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,7,1,0.142857143,-1.360985052
EXG,5,0,4,4,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
GG,5,5,7,12,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,9,4,0.444444444,-1.059397751
LZR,5,2,8,10,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6,0,0,-1.503842195
NV,5,4,6,10,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,8,6,0.75,-0.753842195
P1E,5,0,3,3,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
PEC,5,0,4,4,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
RUM,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-0.503842195
SIM,5,1,2,3,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,6,1,0.166666667,-1.337175528
SSG,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
TS,5,10,13,23,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,9,5,0.555555556,-0.94828664
WC,5,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
BMG,6,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
C9,6,4,5,9,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,NA,8,5,0.625,-0.878842195
DNL,6,6,5,11,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,9,5,0.555555556,-0.94828664
END,6,10,8,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,9,4,0.444444444,-1.059397751
EU,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
EXG,6,0,4,4,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
GG,6,0,2,2,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
LZR,6,1,1,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,5,2,0.4,-1.103842195
NV,6,3,8,11,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
P1E,6,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
PEC,6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
RUM,6,2,2,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
SIM,6,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
SSG,6,5,7,12,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,NA,8,4,0.5,-1.003842195
TS,6,1,7,8,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,6,3,0.5,-1.003842195
WC,6,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
BMG,7,4,0,4,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,8,1,0.125,-1.378842195
C9,7,3,8,11,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,NA,8,3,0.375,-1.128842195
DNL,7,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
END,7,2,2,4,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,NA,NA,7,3,0.428571429,-1.075270767
EU,7,10,12,22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,9,4,0.444444444,-1.059397751
EXG,7,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
GG,7,6,6,12,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,9,4,0.444444444,-1.059397751
LZR,7,5,6,11,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,9,1,0.111111111,-1.392731084
NV,7,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
P1E,7,1,4,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
PEC,7,0,3,3,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
RUM,7,1,5,6,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,NA,NA,NA,6,2,0.333333333,-1.170508862
SIM,7,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
SSG,7,0,4,4,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,6,6,1,-0.503842195
TS,7,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
WC,7,0,3,3,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,-1.003842195
BMG,8,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
C9,8,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
DNL,8,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
END,8,5,2,7,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,9,2,0.222222222,-1.281619973
EU,8,1,5,6,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
EXG,8,0,3,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
GG,8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
LZR,8,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
NV,8,6,4,10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9,5,0.555555556,-0.94828664
P1E,8,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
PEC,8,4,2,6,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,8,7,0.875,-0.628842195
RUM,8,10,13,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,9,6,0.666666667,-0.837175528
SIM,8,0,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
SSG,8,1,4,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,6,1,0.166666667,-1.337175528
TS,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
WC,8,3,9,12,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,7,4,0.571428571,-0.932413624
BMG,9,6,7,13,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,9,4,0.444444444,-1.059397751
C9,9,1,3,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
DNL,9,3,1,4,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,NA,7,5,0.714285714,-0.789556481
END,9,5,10,15,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,NA,8,6,0.75,-0.753842195
EU,9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
EXG,9,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
GG,9,4,13,17,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,NA,8,6,0.75,-0.753842195
LZR,9,2,1,3,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
NV,9,0,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-0.503842195
P1E,9,1,5,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
PEC,9,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
RUM,9,10,10,20,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,9,7,0.777777778,-0.726064417
SIM,9,0,2,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
SSG,9,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
TS,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
WC,9,0,5,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
BMG,10,1,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
C9,10,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
DNL,10,3,1,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,8,4,0.5,-1.003842195
END,10,2,6,8,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,-0.646699338
EU,10,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
EXG,10,1,2,3,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,-1.003842195
GG,10,6,9,15,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,9,4,0.444444444,-1.059397751
LZR,10,4,1,5,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,8,7,0.875,-0.628842195
NV,10,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
P1E,10,0,2,2,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
PEC,10,0,4,4,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
RUM,10,5,12,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,9,5,0.555555556,-0.94828664
SIM,10,10,7,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9,8,0.888888889,-0.614953306
SSG,10,0,6,6,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
TS,10,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
WC,10,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
BMG,11,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,-0.753842195
C9,11,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
DNL,11,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
END,11,6,10,16,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,9,3,0.333333333,-1.170508862
EU,11,0,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
EXG,11,0,5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
GG,11,0,5,5,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,-1.003842195
LZR,11,3,3,6,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,-0.646699338
NV,11,5,3,8,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,NA,8,2,0.25,-1.253842195
P1E,11,10,8,18,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,9,6,0.666666667,-0.837175528
PEC,11,1,3,4,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
RUM,11,1,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
SIM,11,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
SSG,11,2,4,6,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,NA,NA,7,2,0.285714286,-1.218127909
TS,11,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
WC,11,4,6,10,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,-0.646699338
BMG,12,5,1,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9,1,0.111111111,-1.392731084
C9,12,1,6,7,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,NA,NA,NA,6,5,0.833333333,-0.670508862
DNL,12,0,4,4,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,5,2,0.4,-1.103842195
END,12,0,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,-1.503842195
EU,12,1,5,6,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,-0.837175528
EXG,12,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
GG,12,4,6,10,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,-1.075270767
LZR,12,0,2,2,0,1,1,1,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,4,4,1,-0.503842195
NV,12,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
P1E,12,10,9,19,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,9,6,0.666666667,-0.837175528
PEC,12,0,4,4,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
RUM,12,3,4,7,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,-1.503842195
SIM,12,2,5,7,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,7,1,0.142857143,-1.360985052
SSG,12,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
TS,12,6,7,13,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,9,6,0.666666667,-0.837175528
WC,12,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
BMG,13,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,-0.903842195
C9,13,5,6,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,8,7,0.875,-0.628842195
DNL,13,1,2,3,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
END,13,3,5,8,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,-0.837175528
EU,13,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
EXG,13,1,4,5,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,6,2,0.333333333,-1.170508862
GG,13,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
LZR,13,2,3,5,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,6,1,0.166666667,-1.337175528
