team,match,day,week,placement_points,kill_points,total_points,cumulative_points,rolling_avg_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,34569_alive,34569_favorable,34569_favor_proportion,34569_favor_proportion_new,relative_circle_favor
C9,3,1,1,1,7,8,26,6.953333333,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,4,3,0.75,0.5,-0.772363556
END,3,1,1,0,2,2,8,3.253333333,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,4,1,0.25,0.166666667,-1.10569689
EU,3,1,1,3,8,11,16,5.786666667,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,NA,NA,7,4,0.571428571,4,2,0.5,0.285714286,-1.034268318
EXG,3,1,1,0,1,1,3,1.28,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
GG,3,1,1,0,2,2,12,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,5,3,0.6,3,2,0.666666667,0.4,-1.00569689
LZR,3,1,1,5,8,13,18,5.58,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,NA,8,2,0.25,4,1,0.25,0.125,-1.35569689
NV,3,1,1,2,1,3,13,4.996666667,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,6,5,0.833333333,4,3,0.75,0.5,-0.772363556
P1E,3,1,1,6,8,14,33,8.57,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,8,7,0.875,4,4,1,0.5,-0.73069689
PEC,3,1,1,0,3,3,13,5.176666667,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
RUM,3,1,1,1,1,2,7,3.116666667,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
SA,3,1,1,0,0,0,28,11.87666667,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,3,1,0.333333333,0.2,-1.40569689
SIM,3,1,1,0,0,0,6,2.69,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
SSG,3,1,1,0,5,5,19,5.246666667,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
TS,3,1,1,0,1,1,24,7.07,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,2,1,0.5,0.25,-1.10569689
WC,3,1,1,4,6,10,19,6.206666667,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,4,1,0.25,0.142857143,-1.177125461
BMG,4,1,1,6,2,8,28,5.186666667,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,9,2,0.222222222,5,1,0.2,0.111111111,-1.383474668
C9,4,1,1,0,4,4,30,7.753333333,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,6,2,0.333333333,4,1,0.25,0.166666667,-1.272363556
END,4,1,1,0,0,0,8,3.086666667,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,5,1,0.2,3,1,0.333333333,0.2,-1.40569689
EU,4,1,1,10,12,22,38,6.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,9,7,0.777777778,5,3,0.6,0.333333333,-0.827919112
EXG,4,1,1,0,5,5,8,1.813333333,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
GG,4,1,1,0,0,0,12,4.3,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,2,1,0.5,0.25,-1.10569689
LZR,4,1,1,5,9,14,32,6.446666667,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,NA,8,6,0.75,4,4,1,0.5,-0.85569689
NV,4,1,1,0,4,4,17,5.063333333,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,0,-0.60569689
P1E,4,1,1,0,2,2,35,8.736666667,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
PEC,4,1,1,0,2,2,15,4.01,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,0,-0.60569689
RUM,4,1,1,2,6,8,15,2.95,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,4,1,0.25,0.166666667,-1.10569689
SA,4,1,1,0,1,1,29,8.61,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
SIM,4,1,1,3,4,7,13,2.856666667,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,7,3,0.428571429,4,1,0.25,0.142857143,-1.177125461
SSG,4,1,1,1,2,3,22,5.78,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
TS,4,1,1,1,0,1,25,8.936666667,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,6,3,0.5,4,2,0.5,0.333333333,-1.10569689
WC,4,1,1,4,5,9,28,5.94,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,8,3,0.375,4,3,0.75,0.375,-1.23069689
BMG,5,2,1,0,0,0,28,5.886666667,0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
C9,5,2,1,1,2,3,33,7.467619048,0,1,1,1,1,1,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
END,5,2,1,5,0,5,13,3.486666667,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
EU,5,2,1,3,2,5,43,7.977142857,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,7,1,0.142857143,4,0,0,0,-1.462839747
EXG,5,2,1,0,4,4,12,2.127619048,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
GG,5,2,1,6,7,13,25,4.414285714,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,9,4,0.444444444,5,2,0.4,0.222222222,-1.161252445
LZR,5,2,1,2,8,10,42,7.518095238,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
NV,5,2,1,4,6,10,27,5.177619048,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,8,6,0.75,4,3,0.75,0.375,-0.85569689
P1E,5,2,1,0,3,3,38,8.150952381,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
PEC,5,2,1,0,4,4,19,3.638571429,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
RUM,5,2,1,0,0,0,15,3.164285714,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,0,-0.60569689
SA,5,2,1,0,0,0,29,6.981428571,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
SIM,5,2,1,1,2,3,16,2.770952381,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,6,1,0.166666667,4,0,0,0,-1.439030223
SSG,5,2,1,0,0,0,22,5.465714286,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
TS,5,2,1,10,13,23,48,8.236666667,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
WC,5,2,1,0,3,3,31,6.097142857,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
BMG,6,2,1,0,3,3,31,5.503333333,0,1,1,1,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
C9,6,2,1,4,5,9,42,7.159285714,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,NA,8,5,0.625,4,2,0.5,0.25,-0.98069689
END,6,2,1,10,8,18,31,4.003333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,9,4,0.444444444,5,3,0.6,0.333333333,-1.161252445
EU,6,2,1,0,0,0,43,8.68547619,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
EXG,6,2,1,0,4,4,16,2.452619048,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
GG,6,2,1,0,2,2,27,4.589285714,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,2,1,0.5,0.25,-1.10569689
LZR,6,2,1,1,1,2,44,7.768095238,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,5,2,0.4,3,1,0.333333333,0.2,-1.20569689
NV,6,2,1,3,8,11,38,5.535952381,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,6,4,0.666666667,4,3,0.75,0.5,-0.939030223
P1E,6,2,1,0,3,3,41,7.150952381,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
PEC,6,2,1,0,0,0,19,3.471904762,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
RUM,6,2,1,2,2,4,19,3.897619048,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
SA,6,2,1,6,5,11,40,6.139761905,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,9,5,0.555555556,5,3,0.6,0.333333333,-1.050141334
SIM,6,2,1,0,1,1,17,2.870952381,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,5,3,0.6,3,1,0.333333333,0.2,-1.00569689
SSG,6,2,1,5,7,12,34,5.274047619,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,NA,8,4,0.5,4,1,0.25,0.125,-1.10569689
TS,6,2,1,1,7,8,56,8.036666667,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,6,3,0.5,4,3,0.75,0.5,-1.10569689
WC,6,2,1,0,3,3,34,6.05547619,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
BMG,7,2,1,4,0,4,35,5.236666667,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,8,1,0.125,4,0,0,0,-1.48069689
C9,7,2,1,3,8,11,53,7.01484127,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,NA,8,3,0.375,4,1,0.25,0.125,-1.23069689
END,7,2,1,2,2,4,35,4.87,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,NA,NA,7,3,0.428571429,4,1,0.25,0.142857143,-1.177125461
EU,7,2,1,10,12,22,65,8.363253968,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,9,4,0.444444444,5,4,0.8,0.444444444,-1.161252445
EXG,7,2,1,0,2,2,18,2.585952381,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,3,0.6,3,2,0.666666667,0.4,-1.00569689
GG,7,2,1,6,6,12,39,5.233730159,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,9,4,0.444444444,5,3,0.6,0.333333333,-1.161252445
LZR,7,2,1,5,6,11,55,7.523650794,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,9,1,0.111111111,5,0,0,0,-1.494585779
NV,7,2,1,0,1,1,39,5.797063492,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
P1E,7,2,1,1,4,5,46,6.600952381,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
PEC,7,2,1,0,3,3,22,3.344126984,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,3,0.75,2,0,0,0,-0.85569689
RUM,7,2,1,1,5,6,25,4.658730159,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,NA,NA,NA,6,2,0.333333333,4,3,0.75,0.5,-1.272363556
SA,7,2,1,0,1,1,41,5.689761905,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
SIM,7,2,1,0,1,1,18,2.70984127,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
SSG,7,2,1,0,4,4,38,5.129603175,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,6,6,1,4,4,1,0.666666667,-0.60569689
TS,7,2,1,0,0,0,56,8.031111111,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
WC,7,2,1,0,3,3,37,5.85547619,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,4,1,0.25,0.166666667,-1.10569689
BMG,8,2,1,2,1,3,38,5.196666667,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
C9,8,2,1,0,4,4,57,6.95484127,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,5,2,0.4,3,2,0.666666667,0.4,-1.20569689
END,8,2,1,5,2,7,42,5.65,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,9,2,0.222222222,5,1,0.2,0.111111111,-1.383474668
EU,8,2,1,1,5,6,71,8.063253968,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,6,2,0.333333333,4,1,0.25,0.166666667,-1.272363556
EXG,8,2,1,0,3,3,21,2.645952381,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
GG,8,2,1,0,0,0,39,5.653730159,0,1,1,1,1,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,4,3,0.75,2,1,0.5,0.25,-0.85569689
LZR,8,2,1,0,3,3,58,7.163650794,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
NV,8,2,1,6,4,10,49,5.797063492,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9,5,0.555555556,5,1,0.2,0.111111111,-1.050141334
P1E,8,2,1,0,2,2,48,6.200952381,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
PEC,8,2,1,4,2,6,28,3.224126984,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,8,7,0.875,4,4,1,0.5,-0.73069689
RUM,8,2,1,10,13,23,48,5.758730159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,9,6,0.666666667,5,5,1,0.555555556,-0.939030223
SA,8,2,1,0,0,0,41,5.509761905,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
SIM,8,2,1,0,2,2,20,2.84984127,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
SSG,8,2,1,1,4,5,43,5.229603175,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,6,1,0.166666667,4,1,0.25,0.166666667,-1.439030223
TS,8,2,1,0,0,0,56,7.291111111,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,2,1,0.5,0.25,-1.35569689
WC,8,2,1,3,9,12,49,5.69547619,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,7,4,0.571428571,4,4,1,0.571428571,-1.034268318
BMG,9,3,2,6,7,13,51,5.163333333,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,9,4,0.444444444,5,3,0.6,0.333333333,-1.161252445
C9,9,3,2,1,3,4,61,6.736659452,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
END,9,3,2,5,10,15,57,6.089393939,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,NA,8,6,0.75,4,3,0.75,0.375,-0.85569689
EU,9,3,2,0,0,0,71,7.957193362,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
EXG,9,3,2,0,3,3,24,2.694437229,0,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,4,1,0.25,2,1,0.5,0.25,-1.35569689
GG,9,3,2,4,13,17,56,6.135548341,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,NA,8,6,0.75,4,3,0.75,0.375,-0.85569689
LZR,9,3,2,2,1,3,61,7.006075036,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,NA,NA,NA,6,4,0.666666667,4,2,0.5,0.333333333,-0.939030223
NV,9,3,2,0,1,1,50,5.657669553,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,0,-0.60569689
P1E,9,3,2,1,5,6,54,6.17974026,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
PEC,9,3,2,0,0,0,28,3.245339105,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
RUM,9,3,2,10,10,20,68,6.725396825,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,9,7,0.777777778,5,4,0.8,0.444444444,-0.827919112
SA,9,3,2,3,1,4,45,5.067337662,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,NA,7,5,0.714285714,4,3,0.75,0.428571429,-0.891411176
SIM,9,3,2,0,2,2,22,3.01044733,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
SSG,9,3,2,0,0,0,43,5.096269841,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
TS,9,3,2,0,0,0,56,6.56989899,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
WC,9,3,2,0,5,5,54,5.725779221,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
BMG,10,3,2,1,2,3,54,5.18,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0,0,4,0,0,0,-1.60569689
C9,10,3,2,0,2,2,63,6.422373737,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,2,0.4,3,0,0,0,-1.20569689
END,10,3,2,2,6,8,65,6.472727273,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,4,4,1,0.571428571,-0.748554033
EU,10,3,2,0,0,0,71,7.416717172,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
EXG,10,3,2,1,2,3,27,2.713484848,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,6,3,0.5,4,1,0.25,0.166666667,-1.10569689
